"Date","HourStart","HourEnd","UserId","RegionId","Name","ImWh","ExWh","IndVarh","CapVarh","IndPenalty","CapPenalty"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kompresör Özen 250 ","84.8003950295447","0","47.2126498088286","32.7893355926312","55.6750352311209","38.6664892082252"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kompresör Özen 90","0","98.2569142857143","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","Kompresör Özen Booster lar","129.619243482795","0.002104101494612","57.70928849496","0","44.5221611732522","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 501 UNILOY","0.001","0.001","0","0.02856204379562","0","2856.20437956204"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 502 UNILOY","35.416873826903","0","18.4227372262774","0","52.0168361451577","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 503 BESLIK","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 505 İLAÇ","26.476","0","20.0786875","0","75.8373149267261","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 505 İLAÇ BOŞ","0.151","0.141","0","0.038","0","25.1655629139073"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PE 506 İLAÇ","0","0.045249217935349","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 101 SP25","33.433","0","15.274","0","45.6854006520504","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 102 SP80","0.425","0","0","0.725","0","170.588235294118"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 103 SP80","27.823","0.001","14.877","0","53.4701505948316","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 104 SP80","0.210603550295858","0","0.071431952662722","0","33.9177343223196","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 141","37.0765","0.001","21.39075","0","57.6935525197902","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 162 YENİ","19.442","11.07","14.287","0","73.4852381442238","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 163 YENİ","0","0.000223140495868","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 164","38.703","0","0.003","14.963","0.007751337105651","38.6610857039506"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 165","0.783","0","0.078","0","9.96168582375479","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 181 YENİ","0","0","0","0","0","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET 182 YENİ","43.617","0.001","23.262","0","53.3324162597153","0"
"2026-06-16","2026-06-16 01:00:00","2026-06-16 02:00:00","8","1","PET ŞİŞİRME 401","0","10.703","0","0","0","0"
