scope,sheet,row_number,machine_code,agiz_mm,gramaj_gr,source_column,cycle_value,included_in_group_stats,parse_status,product_text
schema_match_best_sheet,PROSES ENJEKSİYON,22,209,20,2,J,16,yes,ok,ENJ0012-03 DAMLALIK OPAK BEYAZ 20MM YIVLI 2GR
schema_match_best_sheet,PROSES ENJEKSİYON,22,209,20,2,K,10,yes,ok,ENJ0012-03 DAMLALIK OPAK BEYAZ 20MM YIVLI 2GR
schema_match_best_sheet,PROSES ENJEKSİYON,22,209,20,2,L,27.5,yes,ok,ENJ0012-03 DAMLALIK OPAK BEYAZ 20MM YIVLI 2GR
schema_match_best_sheet,PROSES ENJEKSİYON,23,210,100,13,J,4,yes,ok,ENJ0023-03 KAVANOZ KAPAK OPAK MAVI 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,23,210,100,13,K,4,yes,ok,ENJ0023-03 KAVANOZ KAPAK OPAK MAVI 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,23,210,100,13,L,19.8,yes,ok,ENJ0023-03 KAVANOZ KAPAK OPAK MAVI 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,24,211,100,13,J,24,yes,ok,ENJ0023-05 KAVANOZ KAPAK OPAK GOLD 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,24,211,100,13,K,21,yes,ok,ENJ0023-05 KAVANOZ KAPAK OPAK GOLD 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,24,211,100,13,L,21.4,yes,ok,ENJ0023-05 KAVANOZ KAPAK OPAK GOLD 100MM YIVLI 13GR
schema_match_best_sheet,PROSES ENJEKSİYON,25,301,62,43,J,8,yes,ok,PRE0002 62MM 8 GOZ PREFORM 43GR SEFFAF SEFFAF KOLI STANDART
schema_match_best_sheet,PROSES ENJEKSİYON,25,301,62,43,K,8,yes,ok,PRE0002 62MM 8 GOZ PREFORM 43GR SEFFAF SEFFAF KOLI STANDART
