scope,sheet,row_number,machine_code,product_text,agiz_mm,gramaj_gr,raw_F,raw_G,raw_J,raw_K,raw_L,numeric_J,numeric_K,numeric_L,parse_status
schema_match_best_sheet,PROSES ENJEKSİYON,42,203,ENJ0057-01 KAPAK SEFFAF SARI 44MM CAKMA 6GR,44,6,203,ENJ0057-01 KAPAK SEFFAF SARI 44MM CAKMA 6GR,8,8,17.6,8,8,17.6,ok
schema_match_best_sheet,PROSES ENJEKSİYON,43,204,ENJ0035-02 TIPA SEFFAF 28MM YIVLI 1GR ( KOLONYA ),28,1,204,ENJ0035-02 TIPA SEFFAF 28MM YIVLI 1GR ( KOLONYA ),24,24,25.5,24,24,25.5,ok
schema_match_best_sheet,PROSES ENJEKSİYON,44,205,ENJ0031-04 KAPAK OPAK YESIL 24MM YIVLI 3GR,24,3,205,ENJ0031-04 KAPAK OPAK YESIL 24MM YIVLI 3GR,12,12,15.52,12,12,15.52,ok
schema_match_best_sheet,PROSES ENJEKSİYON,45,207,ENJ0038-10 KAPAK OPAK KIRMIZI 28MM YIVLI 10GR,28,10,207,ENJ0038-10 KAPAK OPAK KIRMIZI 28MM YIVLI 10GR,12,9,28.95,12,9,28.95,ok
schema_match_best_sheet,PROSES ENJEKSİYON,46,209,ENJ0012-07 DAMLALIK OPAK TURUNCU 20MM YIVLI 2GR,20,2,209,ENJ0012-07 DAMLALIK OPAK TURUNCU 20MM YIVLI 2GR,12,7,26.9,12,7,26.9,ok
schema_match_best_sheet,PROSES ENJEKSİYON,47,210,ENJ0023-01 KAVANOZ KAPAK OPAK SARI 100MM YIVLI 13GR,100,13,210,ENJ0023-01 KAVANOZ KAPAK OPAK SARI 100MM YIVLI 13GR,4,3,19.8,4,3,19.8,ok
schema_match_best_sheet,PROSES ENJEKSİYON,48,211,ENJ0027-02 PIM SEFFAF 024MM YIVLI 1GR,24,1,211,ENJ0027-02 PIM SEFFAF 024MM YIVLI 1GR,24,24,22.1,24,24,22.1,ok
schema_match_best_sheet,PROSES ENJEKSİYON,49,212,ENJ0058-06 FLIPTOP SEFFAF LILA 28MM YIVLI 13GR,28,13,212,ENJ0058-06 FLIPTOP SEFFAF LILA 28MM YIVLI 13GR,12,11,21.4,12,11,21.4,ok
schema_match_best_sheet,PROSES ENJEKSİYON,50,301,ENJ0042-01 KAVANOZ KAPAK OPAK SARI 90MM YIVLI 17GR,90,17,301,ENJ0042-01 KAVANOZ KAPAK OPAK SARI 90MM YIVLI 17GR,4,4,24.4,4,4,24.4,ok
schema_match_best_sheet,PROSES ENJEKSİYON,51,303,PRE0003 90 MM 4 GOZ YIVLI PREFORM 61GR SEFFAF SEFFAF KOLI STANDART,90,61,303,PRE0003 90 MM 4 GOZ YIVLI PREFORM 61GR SEFFAF SEFFAF KOLI STANDART,4,3,28.7,4,3,28.7,ok
